Ticker,Last,Change %,Gap %,Relative Volume,Shares Float,Exponential Moving Average (200),Simple Moving Average (200),Pre-market Change %,Change from Open,Change from Open %,Change,Volume,Average Volume (30 day)
GWGH,6.2327,8.394783,8.394783,0.06852601,1614289,6.0381894,6.056589,,0,0,0.4827,825,4573.3667
UONE,2.3001,7.9859157,7.9859157,0.10208248,26067330,2.609014,2.5869365,,0,0,0.1701,100,2494.2666
EVFM,3.4837,7.8544893,7.8544893,0.057954215,25087796,3.4841897,3.494037,,0,0,0.2537,100,26652.467
DNJR,6.1,7.764332,7.764332,0.48146364,3695500,6.615996,6.6369915,,0,0,0.4395,100,2072.5667
OHAI,1.3,10.77028,7.3619633,3.6767104,17916598,1.3074914,1.318039,,0.04,3.1746032,0.1264,13984,25944.7
FTEO,14.6,7.1166544,7.1166544,0.5263158,2400000,17.636505,16.93718,,0,0,0.97,100,993.3
FTFT,1.0999,6.776041,6.776041,0.66050196,11250278,1.1312253,1.1219445,,0,0,0.0698,2000,254943.03
MYOS,1.2,8.342361,6.536656,0.45045045,4323481,1.2047505,1.2257775,,0.02,1.6949153,0.0924,2100,34972.9
DLHC,5.32,6.187625,6.187625,0.18932223,9184287,5.1310267,5.1498513,,0,0,0.31,100,10184.333
ELLO,8.85,5.9816775,5.9816775,0.38114598,2979847,8.112214,8.056686,,0,0,0.4995,300,2685.5
MXC,3.93,5.645161,5.376344,0.2631579,842402,4.1306844,4.1320944,,0.01,0.25510204,0.21,200,11598.267
EPIX,3.15,5.3511705,5.3511705,0.19516003,5723530,3.1735184,3.282187,,0,0,0.16,300,3276.7334
ASFI,4.265,5.308642,5.308642,0.330033,2715456,4.021572,3.9818234,,0,0,0.215,100,4151.533
EMITF,1.88,5.027933,5.027933,0.27027026,9190808,1.7647723,1.7500255,,0,0,0.09,100,16684.934
OPHC,4.18,4.898615,4.898615,0.37037036,1168487,4.718186,4.708354,,0,0,0.1952,115,7215.3335
ISDR,12.414,4.319328,4.319328,0.3030303,2685421,12.053904,11.969957,,0,0,0.514,100,10965.566
ONCY,2.4587,4.1822033,4.1822033,0.48875856,16873192,2.3565292,2.3784256,,0,0,0.0987,500,52519.035
BIOL,1.2922,3.1120331,4.1334186,0.452796,14223814,1.2766222,1.2769525,,-0.0128,-0.9808429,0.039,2200,20368.166
NTN,2.6925,3.957529,3.957529,0.10043186,2065794,3.2426252,3.265125,,0,0,0.1025,500,7605.3
DOTAU,11,3.7735848,3.7735848,0.17442659,5750000,10.675512,10.627795,,0,0,0.4,254,1344.4
ELOX,14.73,0.5460751,3.7542663,0.40257648,24432442,15.751126,15.997166,,-0.47,-3.0921052,0.08,2635,35023.234
ISNS,5.98,3.7294016,3.7294016,0.89047194,3394731,5.745532,5.7000947,,0,0,0.215,100,5795.933
COHN,9.0027,3.717742,3.717742,0.7132668,235047,9.538293,9.727253,,0,0,0.3227,100,2735.4
AFH,9.8866,3.5246074,3.5246074,1.5237266,9978254,10.08949,10.158197,,0,0,0.3366,350,19850.2
WHLM,6.25,3.4768212,3.4768212,0.3875969,3344247,6.007773,5.897462,,0,0,0.21,100,1638.2667
CART,7.77,3.4620507,3.4620507,0.07706474,6586959,8.243154,8.266888,,0,0,0.26,100,3962.2334
BNSO,2.45,5.1502147,3.4334764,1.369338,1266669,2.5411785,2.5076535,,0.04,1.659751,0.12,393,19924.367
MARPS,2.72,3.4220533,3.4220533,0.28045386,1611634,3.1578462,3.208883,,0,0,0.09,131,3965.3667
UONEK,2.19,3.3018868,3.3018868,1.2285012,26067330,2.1686275,2.148421,,0,0,0.07,200,21788.434
PRT,10.5945,2.066474,3.1791906,0.22529288,6084268,10.479521,10.481653,,-0.1155,-1.0784314,0.2145,300,56200.535
EDNT,6.24,3.1404958,3.1404958,2.3623908,3963930,6.128457,6.1309233,,0,0,0.19,1000,8080.7
HFFG,12.84,3.1325302,3.1325302,0.5109862,0,12.323359,12.234917,,0,0,0.39,100,8412
FNCB,9.27,1.8681319,3.1318681,0.37348273,14038214,9.261994,9.243122,,-0.115,-1.2253596,0.17,200,2342.2666
KPFS,6.89,2.9895365,2.9895365,0.90909094,12970380,,,,0,0,0.2,200,
PRTS,1.07,4.901961,2.9411764,4.85219,23669504,1.0567099,1.070791,,0.02,1.9047619,0.05,9881,164820.14
ENTX,5.3,2.812803,2.812803,0.6557377,7313200,5.4057837,5.482351,,0,0,0.145,200,3034.9666
NEW,5.94,2.413793,2.7586207,0.4054054,7200000,5.98852,6.016991,,-0.02,-0.33557048,0.14,1179,124309.836
PESI,3.03,2.7118645,2.7118645,0.10327378,11229801,3.465006,3.5028036,,0,0,0.08,100,8358.934
OPGN,1.1444,2.7012475,2.7012475,0.18248175,8263320,1.176974,1.166361,,0,0,0.0301,500,131150.03
INOD,1.54,2.6666667,2.6666667,0.06475007,21707664,1.4892749,1.486127,,0,0,0.04,100,52768.367
BCOM,9.18,2.5698323,2.5698323,0.6158219,10518551,9.608058,9.731385,,0,0,0.23,130,1474
CKPT,2.1,2.9967139,2.5062535,0.23219815,20862408,2.2480943,2.276515,,0.01,0.4784689,0.0611,788,47483.867
VTSI,3.75,2.4590163,2.4590163,0.1409046,7542836,3.8939934,3.9244726,,0,0,0.09,100,16579.633
GVP,2.8673,2.4035714,2.4035714,0.20947246,14126829,2.9895833,2.975545,,0,0,0.0673,500,8463.467
ISIG,1.79,2.2857144,2.2857144,0.5,7812355,1.7782869,1.7946795,,0,0,0.04,100,12202.467
MFCB,4.32,2.2485206,2.2485206,0.4904365,6168569,4.4698014,4.423299,,0,0,0.095,100,8932.833
MUDSU,10.45,2.2404852,2.2404852,0.21978022,20800000,10.277074,10.275276,,0,0,0.229,100,8072.967
APVO,2.39,2.1367521,2.1367521,0.10506409,17567304,2.504271,2.5302715,,0,0,0.05,100,82403.5
